user_id,gender,credit_score,total_debt,yearly_income,card_id,card_brand,card_type,card_on_dark_web,credit_limit,txn_date,amount,merchant_id,errors
1556,Female,740,$110153,$48277,2972,Mastercard,Debit (Prepaid),False,$55,2010-01-01 00:01:00,$-77.00,59935,
561,Male,834,$112139,$36853,4575,Mastercard,Credit,False,$9100,2010-01-01 00:02:00,$14.57,67570,
1129,Male,686,$36540,$34449,102,Mastercard,Debit,False,$14802,2010-01-01 00:02:00,$80.00,27092,
430,Female,685,$128676,$53350,2860,Mastercard,Debit,False,$37634,2010-01-01 00:05:00,$200.00,27092,
848,Male,711,$96182,$68362,3915,Visa,Debit,False,$19113,2010-01-01 00:06:00,$46.41,13051,
1807,Female,828,$98613,$52065,165,Mastercard,Debit (Prepaid),False,$89,2010-01-01 00:07:00,$4.81,20519,
1556,Female,740,$110153,$48277,2972,Mastercard,Debit (Prepaid),False,$55,2010-01-01 00:09:00,$77.00,59935,
1684,Male,782,$108313,$27861,2140,Mastercard,Debit (Prepaid),False,$46,2010-01-01 00:14:00,$26.46,39021,
335,Female,688,$66565,$56467,5131,Visa,Debit,False,$23401,2010-01-01 00:21:00,$261.58,50292,
351,Female,807,$375,$17150,1112,Mastercard,Debit (Prepaid),False,$54,2010-01-01 00:21:00,$10.74,3864,
554,Male,690,$114266,$53357,3912,Visa,Debit,False,$25658,2010-01-01 00:23:00,$3.51,67570,
605,Male,725,$2667,$47542,5061,Visa,Debit,False,$1484,2010-01-01 00:23:00,$2.58,75781,
1556,Female,740,$110153,$48277,2972,Mastercard,Debit (Prepaid),False,$55,2010-01-01 00:26:00,$39.63,59935,
1797,Male,743,$15336,$30962,1127,Visa,Debit,False,$23237,2010-01-01 00:27:00,$43.33,33326,
114,Female,725,$907,$34441,3398,Mastercard,Debit,False,$27447,2010-01-01 00:30:00,$49.42,61195,
1634,Male,825,$60152,$20577,2464,Mastercard,Debit,False,$8638,2010-01-01 00:31:00,$1.09,20519,
646,Female,786,$73037,$43634,2093,Mastercard,Credit,False,$14500,2010-01-01 00:32:00,$73.79,1636,
1129,Male,686,$36540,$34449,5492,Mastercard,Debit,False,$18109,2010-01-01 00:32:00,$100.00,27092,
394,Male,684,$47193,$69604,4717,Mastercard,Debit,False,$23310,2010-01-01 00:34:00,$26.04,39021,
114,Female,725,$907,$34441,3398,Mastercard,Debit,False,$27447,2010-01-01 00:36:00,$-64.00,61195,
1376,Female,543,$85666,$62019,2182,Mastercard,Credit,False,$13100,2010-01-01 00:36:00,$54.27,88945,
1682,Male,716,$117616,$48750,238,Mastercard,Credit,False,$13200,2010-01-01 00:37:00,$20.74,21586,
114,Female,725,$907,$34441,3398,Mastercard,Debit,False,$27447,2010-01-01 00:38:00,$64.00,61195,
121,Female,721,$124370,$45419,5952,Visa,Debit,False,$18137,2010-01-01 00:38:00,$57.54,11901,
301,Male,679,$135319,$52308,3742,Visa,Credit,False,$21000,2010-01-01 00:43:00,$10.17,39021,
1755,Male,734,$66681,$28269,4228,Visa,Debit,False,$12519,2010-01-01 00:43:00,$12.01,28666,
566,Female,814,$108449,$46244,3439,Mastercard,Credit,False,$11000,2010-01-01 00:45:00,$16.86,16798,
379,Female,765,$114563,$43496,3881,Mastercard,Debit,False,$24232,2010-01-01 00:46:00,$4.64,50783,
401,Male,806,$879,$28644,3004,Mastercard,Debit,False,$17691,2010-01-01 00:48:00,$669.88,68977,
1127,Male,720,$92603,$35590,3869,Visa,Debit,False,$27646,2010-01-01 00:48:00,$22.57,39021,
652,Female,784,$1692,$22726,4293,Mastercard,Debit,False,$19962,2010-01-01 00:49:00,$2.40,74624,
1963,Male,821,$370,$33869,3317,Mastercard,Debit,False,$25297,2010-01-01 00:53:00,$40.35,69972,
1357,Female,812,$0,$11410,4488,Amex,Credit,False,$8000,2010-01-01 00:56:00,$14.57,78632,
285,Male,731,$33122,$34496,3442,Visa,Debit (Prepaid),False,$65,2010-01-01 00:57:00,$7.80,81536,
1201,Male,715,$195657,$115465,16,Visa,Debit,False,$55693,2010-01-01 00:57:00,$2.95,61195,
820,Female,633,$29713,$41902,127,Mastercard,Debit,False,$20759,2010-01-01 01:01:00,$270.22,73186,
1703,Female,747,$65994,$49169,2969,Mastercard,Credit,False,$10600,2010-01-01 01:03:00,$78.00,43293,
1758,Male,645,$43260,$22556,4686,Visa,Debit,False,$8278,2010-01-01 01:06:00,$87.09,17976,
414,Female,709,$44432,$112875,2815,Mastercard,Debit,False,$62703,2010-01-01 01:07:00,$148.39,5258,
1963,Male,821,$370,$33869,3364,Visa,Debit,False,$18384,2010-01-01 01:07:00,$48.12,88646,
561,Male,834,$112139,$36853,3764,Mastercard,Debit,False,$26960,2010-01-01 01:08:00,$7.75,86977,
566,Female,814,$108449,$46244,5577,Mastercard,Credit,False,$10100,2010-01-01 01:11:00,$14.66,16798,
1642,Female,731,$41938,$40470,4281,Visa,Debit,False,$26730,2010-01-01 01:11:00,$3.96,44625,
